#,Emoticon,Meaning,Votes
595,O-S-<,In a hurry,250.0
596,C = (; '_'),In a Hurry,400.0
597,(@),In a Nut Shell,300.0
598,(♥_♥),In Love,155.0
599,._.,Inadequate,250.0
600,"_/\,",Inch Worm,400.0
601,:-S,Incoherent,400.0
602,(o_O),Incredulous,250.0
603,:7/,Indecisive,400.0
604,:-|,Indifferent,100.0
605,（*´▽｀*）,Infatuated,211.0
606,0:-),Innocent,233.0
607,(╭ರ_•́),Inquisitive,183.0
608,§),Insane,400.0
609,;:|,Intrigued,400.0
610,%7<,Irritated,300.0
611,(ip),Island with a Palm Tree,300.0
612,^#(^,It Was Not Me,200.0
613,:<|,Ivy League,400.0
614,(:-|K-,James Bond,333.0
615,♫.(◠౪◠).♫,Jamming to music,250.0
616,8(>_<)8,Jealous,267.0
617,8-),Joe Cool,300.0
618,//0-0\\,John Lennon,180.0
619,X-p,Joking,225.0
620,*JOKINGLY*,Jokingly,400.0
621,:-],Jovial,400.0
622,(≧∇≦)/,Joyful,129.0
623,:-DD,Jubilant,400.0
624,(:-#,Keeping Quiet,400.0
625,( ((><)) ),Kenny,400.0
626,( ｀o´)_θ☆,Kicking,250.0
627,K:P,Kid,200.0
628,]:)|--<,King,200.0
629,]: =]===>,King Arthur,400.0
630,(っ^‿^)っ,Kirby,138.0
631,(> '.' )> <( '.' )> <( '.' <),Kirby Dance,217.0
632,:*,Kiss,169.0
633,( ˘ ³˘)♥,Kiss me,200.0
634,(_X_),Kiss my Butt,220.0
635,（＿ε＿）,Kiss my butt,260.0
636,*KISSED*,Kissed,400.0
637,:}{:,Kisses,350.0
638,(-}{-),Kissing,217.0
639,(=^-^=),Kitten,133.0
640,=^.^=,Kitty,150.0
641,⋟^≏^⋞,Kitty Cat,138.0
642,[|],Kleenex,300.0
643,>>:-|,Klingon,233.0
644,.-=o=-.,Klingon Bird of Prey,200.0
645,+<||-),Knight,300.0
646,(^^) //('_')\\ (^^),Knuckles,350.0
647,ʕ •ᴥ•ʔ,Koala,145.0
648,:*)O,Kool,300.0
649,／人◕ ‿‿ ◕人＼,Kyubey,142.0
650,&0(80<,Lady,400.0
651,(::)<,Ladybug,167.0
652,-.-,Lame,300.0
653,㐈⦁ཽし⦁ཽ㐈,Larry David,275.0
